Númer,Heiti,Einingar,Kennslumisseri,Námstig,Slóð
GFR104G,"Saga, trú og  bókmenntir og þjóðfélag Hebrea í ljósi hliðstæðna frá nágrannaþjóðunum",10,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=01020320176&kennsluar=2017
GFR053M,Guðfræði Gamla testamentisins,5,Haust,Grunnnám / Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=01040120176&kennsluar=2017
GFR001F,Doktorsnám í guðfræði                                                                                                   ,30,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=01100220176&kennsluar=2017
GFR002F,Doktorsnám í guðfræði                                                                                                   ,30,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=01100220180&kennsluar=2017
GFR204G,Inngangur að trúfræði,10,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=01200020180&kennsluar=2017
GFR201G,Inngangur að guðfræðilegri siðfræði,10,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=01300320176&kennsluar=2017
GFR110G,Kirkjusaga Evrópu,10,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=01400520176&kennsluar=2017
GFR102G,Trúarbragðasaga,5,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=01500020180&kennsluar=2017
GFR108G,Aðferðir í akademísku námi,5,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=01520420180&kennsluar=2017
GFR324M,Sálgæslufræði,10,Haust,Grunnnám / Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=01600020176&kennsluar=2017
GFR606F,Málstofa: Framsetning kristins boðskapar í nútímasamfélagi,10,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=01620420180&kennsluar=2017
LÆK214G,Líffærafræði sj. IIA,8,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02010320180&kennsluar=2017
LÆK212G,Lífeðlisfræði I TN,8,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02010520176&kennsluar=2017
LÆK213G,Lífeðlisfræði II TN,6,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02010620180&kennsluar=2017
LÆK308G,Lyfjafræði I Ta,4,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02010720176&kennsluar=2017
LÆK307G,Lyfjafræði II Ta,4,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02010820176&kennsluar=2017
LÆK225G,Klínisk aðferð: Samskiptafræði - Sálarfræði I,1,Heilsárs,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02011020180&kennsluar=2017
LÆK226G,Klínisk aðferð: Samskiptafræði - læknir/sjúklingur I,5,Heilsárs,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02011120180&kennsluar=2017
LÆK222G,Frumulíffræði og erfðafræði,7,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02011420180&kennsluar=2017
LÆK221G,Líffærafræði IIA,8,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02011520180&kennsluar=2017
LÆK313G,Lífeðlisfræði A,7,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02012020176&kennsluar=2017
LÆK411G,Klínisk aðferð: Samskiptafræði - Sálarfræði II,2,Heilsárs,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02012220180&kennsluar=2017
LÆK412G,Klínisk aðferð: Samskiptafræði - læknir/sjúklingur II,7,Heilsárs,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02012320180&kennsluar=2017
LÆK409G,Lífeðlisfræði B,10,Heilsárs,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02012520180&kennsluar=2017
LÆK410G,Lífefna og sameindalíffræði B,10,Heilsárs,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02012820180&kennsluar=2017
LÆK314G,Lífefna og sameindalíffræði A,8,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02012920176&kennsluar=2017
LÆK413G,Sýklafræði,7,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02013020180&kennsluar=2017
LÆK414G,Veirufræði,4,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02013120180&kennsluar=2017
LÆK415G,Ónæmisfræði,5,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02013220180&kennsluar=2017
LÆK303F,Erfðalæknisfræði,4,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02013320176&kennsluar=2017
LÆK403F,Erfðalæknisfræði,4,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02013320180&kennsluar=2017
LÆK514G,Meinafræði,14,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02013420176&kennsluar=2017
LÆK515G,Lyfja- og eiturefnafræði,14,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02013520176&kennsluar=2017
LÆK615G,Klínísk aðferð,4,Heilsárs,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02013720180&kennsluar=2017
LÆK304G,Rannsóknarverkefni,0,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02013920176&kennsluar=2017
LÆK204F,"Skurðlæknisfræði, fræðileg",13,Heilsárs,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02014020180&kennsluar=2017
LÆK205F,"Skurðlæknisfræði, klínísk",13,Heilsárs,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02014120180&kennsluar=2017
LÆK207F,Myndgreining,3,Heilsárs,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02014420180&kennsluar=2017
LÆK206F,Háls- nef- og eyrnasjúkdómafræði,3,Heilsárs,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02014520180&kennsluar=2017
LÆK407F,Húð- og kynsjúkdómafræði,4,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02014620180&kennsluar=2017
LÆK105F,Meinefnafræði,2,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02014820176&kennsluar=2017
LÆK202F,"Lyflæknisfræði, fræðileg",13,Heilsárs,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015020180&kennsluar=2017
LÆK203F,"Lyflæknisfræði, klínísk",13,Heilsárs,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015120180&kennsluar=2017
LÆK508F,Krabbameinslæknisfræði - verkleg,2,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015320176&kennsluar=2017
LÆK306F,Augnsjúkdómafræði,4,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015420176&kennsluar=2017
LÆK406F,Augnsjúkdómafræði,4,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015420180&kennsluar=2017
LÆK302F,Barnalæknisfræði,12,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015520176&kennsluar=2017
LÆK402F,Barnalæknisfræði,12,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015520180&kennsluar=2017
LÆK301F,Fæðinga-og kvensjúkdómafræði,12,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015620176&kennsluar=2017
LÆK401F,Fæðinga-og kvensjúkdómafræði,12,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015620180&kennsluar=2017
LÆK304F,Geðlæknisfræði,14,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015720176&kennsluar=2017
LÆK404F,Geðlæknisfræði,14,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015720180&kennsluar=2017
LÆK305F,Taugasjúkdómafræði,10,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015820176&kennsluar=2017
LÆK405F,Taugasjúkdómafræði,10,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015820180&kennsluar=2017
LÆK510F,Heimilislæknisfræði,8,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015920176&kennsluar=2017
LÆK509F,Svæfingalæknisfræði,4,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02016020176&kennsluar=2017
LÆK503F,Réttarlæknisfræði,3,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02016720176&kennsluar=2017
LÆK504F,Klínísk eiturefnafræði,1,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02016820176&kennsluar=2017
LÆK505F,Endurhæfingarfræði,2,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02016920176&kennsluar=2017
LÆK506F,Bráðalækningar / Göngu og utanspítalaþjónusta,4,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02017520176&kennsluar=2017
LÆK507F,Stjórnun og gæðamál,2,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02017620176&kennsluar=2017
LÆK609F,Valnámskeið,22,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02017720180&kennsluar=2017
LÆK610F,CCSE-próf,6,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02017820180&kennsluar=2017
LÆK101F,Almenn tölfræði fyrir meistara- og doktorsnema,6,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02022020176&kennsluar=2017
LÆK101F,Almenn tölfræði fyrir meistara- og doktorsnema,6,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02022020180&kennsluar=2017
LÆK102F,Almenn aðferðafræði í rannsóknum fyrir meistara- og doktorsnema,6,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02022120176&kennsluar=2017
LÆK102F,Almenn aðferðafræði í rannsóknum fyrir meistara- og doktorsnema,6,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02022120180&kennsluar=2017
LÆK010F,"Íþróttir, sjúkdómar og lyf",8,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02022420180&kennsluar=2017
LÆK015F,Meinalíffræði - hvernig sjúkdómar verða til - áhrif erfða og umhverfis,4,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02022720176&kennsluar=2017
LÆK071F,Aðferðir í ónæmisfræði,6,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02023020180&kennsluar=2017
LÆK028F,Stofnfrumur og frumusérhæfing,6,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02023520180&kennsluar=2017
LÆK066F,Íþróttasjúkraþjálfun,10,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02024420180&kennsluar=2017
GSL102G,Kynning á læknisfræðilegri myndgerð og greiningu,0,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02061020176&kennsluar=2017
GSL101G,Efnafræði,4,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02061320176&kennsluar=2017
GSL103G,Geislaeðlisfræði 1,4,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02061420176&kennsluar=2017
GSL205G,Geislaeðlisfræði 2,4,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02061420180&kennsluar=2017
GSL201G,Umönnun sjúklinga,6,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02061520180&kennsluar=2017
GSL105G,Myndgreiningarrannsóknir 1,4,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02061620176&kennsluar=2017
